Temperature,Forecast,WindSpeed,WindDirection,Precipitation,Pressure,From,To
1,Clear sky,2.6,321.7,0.0,1001.1,2015-04-28T02:00:00,2015-04-28T08:00:00
4,Partly cloudy,2.0,348.7,0.0,1001.8,2015-04-28T08:00:00,2015-04-28T14:00:00
10,Partly cloudy,3.8,213.4,0.0,1002.7,2015-04-28T14:00:00,2015-04-28T20:00:00
9,Clear sky,2.4,276.2,0.0,1004.2,2015-04-28T20:00:00,2015-04-29T02:00:00
2,Partly cloudy,2.4,338.2,0.0,1006.9,2015-04-29T02:00:00,2015-04-29T08:00:00
4,Partly cloudy,1.7,280.4,0.0,1007.6,2015-04-29T08:00:00,2015-04-29T14:00:00
10,Partly cloudy,3.0,217.1,0.1,1008.4,2015-04-29T14:00:00,2015-04-29T20:00:00
9,Cloudy,2.5,202.0,0.0,1008.7,2015-04-29T20:00:00,2015-04-30T02:00:00
4,Cloudy,1.7,353.1,0.0,1008.3,2015-04-30T02:00:00,2015-04-30T08:00:00
4,Cloudy,1.4,354.0,0.1,1008.2,2015-04-30T08:00:00,2015-04-30T14:00:00
9,Rain,2.7,75.2,2.4,1005.0,2015-04-30T14:00:00,2015-04-30T20:00:00
9,Partly cloudy,1.7,41.6,0.0,1007.0,2015-04-30T20:00:00,2015-05-01T02:00:00
4,Cloudy,1.7,5.9,0.0,1009.5,2015-05-01T02:00:00,2015-05-01T08:00:00
5,Rain,3.4,170.0,1.5,1008.1,2015-05-01T08:00:00,2015-05-01T14:00:00
8,Rain,2.9,77.1,2.0,1008.5,2015-05-01T14:00:00,2015-05-01T20:00:00
9,Cloudy,1.8,323.7,0.0,1009.7,2015-05-01T20:00:00,2015-05-02T02:00:00
4,Cloudy,2.0,83.1,0.0,1012.6,2015-05-02T02:00:00,2015-05-02T08:00:00
4,Cloudy,2.7,5.4,0.0,1014.3,2015-05-02T08:00:00,2015-05-02T14:00:00
10,Cloudy,3.3,9.6,0.1,1013.4,2015-05-02T14:00:00,2015-05-02T20:00:00
9,Partly cloudy,2.2,295.6,0.0,1008.8,2015-05-02T20:00:00,2015-05-03T02:00:00
4,Cloudy,1.9,345.3,0.0,1011.6,2015-05-03T02:00:00,2015-05-03T08:00:00
4,Partly cloudy,2.1,335.4,0.0,1012.7,2015-05-03T08:00:00,2015-05-03T14:00:00
9,Partly cloudy,3.3,61.5,0.0,1009.8,2015-05-03T14:00:00,2015-05-03T20:00:00
13,Cloudy,3.4,215.7,0.0,1003.9,2015-04-24T13:00:00,2015-04-24T14:00:00
